timestamp	ICAO_address	lat	lon	altitude	heading	hor_velocity	ver_velocity	valid_flags	alt_type	callsign	emitter_type	tslc
1750683263	A98046	636688448	-1490817280	5791200	19836	13838	65471	01BF	0	CFS7663	2	1
1750683264	AE63B4	628718272	-1480481920	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683264	A98046	636688448	-1490817280	5791200	19836	13838	65471	01BF	0	CFS7663	2	1
1750683265	AE63B4	628683776	-1480531328	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683265	A98046	636688448	-1490817280	5791200	19836	13838	65471	01BF	0	CFS7663	2	2
1750683266	AE63B4	628683456	-1480530688	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683266	A98046	636653568	-1490842624	5783580	19836	13838	65471	01BF	0	CFS7663	2	1
1750683267	AE63B4	628665152	-1480557696	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683267	A98046	636640000	-1490853376	5783580	19836	13838	65471	01BF	0	CFS7663	2	1
1750683268	AE63B4	628648192	-1480580608	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683268	A98046	636628416	-1490861696	5783580	19836	13838	65504	01BF	0	CFS7663	2	1
1750683269	AE63B4	628629312	-1480607488	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683269	A98046	636617920	-1490868992	5783580	19816	13838	0	01BF	0	CFS7663	2	1
1750683270	AE63B4	628612544	-1480631424	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683270	A98046	636606976	-1490877696	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683271	AE63B4	628593920	-1480658048	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683271	A98046	636594880	-1490886400	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683272	AE63B4	628577280	-1480681344	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683272	A98046	636581824	-1490896256	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683273	AE63B4	628559488	-1480706688	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683273	A98046	636572096	-1490902912	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683274	AE63B4	628541568	-1480731264	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683274	A98046	636553408	-1490917248	5783580	19816	13838	0	01BF	0	CFS7663	2	0
1750683275	AE63B4	628541568	-1480731264	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
