bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2025-01-07 00:00:33,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12317500,-135.47527333,164.3,8.4,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:00:39,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12292000,-135.47509833,161.2,8.4,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:00:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12270833,-135.47492333,158.0,8.3,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:00:56,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12236833,-135.47459500,152.9,8.2,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:01:03,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12214167,-135.47433333,149.3,8.2,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:01:09,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12192167,-135.47404500,145.9,8.2,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:01:17,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12170667,-135.47374000,143.6,8.3,AUKE BAY,2025-01-04 04:30:00,Passenger ship,4,85,19
2025-01-07 00:03:06,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11840000,-135.46888500,140.8,8.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:04:17,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11633167,-135.46568333,140.3,7.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:05:17,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11470333,-135.46325167,142.8,7.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:05:56,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11369500,-135.46177000,140.5,6.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:06:17,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11320000,-135.46092167,136.4,6.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:06:27,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11297833,-135.46049333,134.4,6.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:06:36,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11277000,-135.46005667,132.2,6.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:06:46,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11259833,-135.45965167,128.7,6.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:06:52,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11248167,-135.45932667,125.1,6.4,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:02,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11234333,-135.45884333,118.2,6.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:10,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11227167,-135.45849833,112.4,6.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:15,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11223000,-135.45819833,107.7,5.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:19,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11221167,-135.45800000,103.8,5.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:29,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11220167,-135.45751167,92.2,5.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:35,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11220833,-135.45736833,88.9,5.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:46,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11228667,-135.45679333,73.2,5.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:53,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11236500,-135.45652333,63.1,5.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:07:59,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11247000,-135.45629000,52.3,4.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:09,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11265500,-135.45601667,39.6,5.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11271500,-135.45594500,35.4,5.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:17,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11277833,-135.45588000,33.4,5.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:23,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11292333,-135.45575667,25.4,4.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:33,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11313333,-135.45565333,14.7,4.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:39,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11327500,-135.45561833,9.5,4.4,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:49,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11346500,-135.45561333,1.0,4.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:08:59,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11364500,-135.45564167,355.6,3.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:09:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11386667,-135.45571667,349.2,3.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:09:27,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11408500,-135.45583500,343.3,3.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:09:49,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11442000,-135.45608333,337.5,3.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:10:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11513167,-135.45674167,333.3,2.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:11:36,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11564833,-135.45723667,333.2,2.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:11:55,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11578833,-135.45738667,329.7,1.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:12:15,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11587833,-135.45750833,320.5,1.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:12:36,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11593667,-135.45758667,326.5,0.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:13:07,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11601500,-135.45770167,311.1,0.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:16:26,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11628500,-135.45790333,326.8,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:22:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11632000,-135.45798667,50.3,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:28:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11632000,-135.45798667,66.0,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:34:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11631500,-135.45798667,76.1,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:40:46,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11631333,-135.45798667,215.1,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:46:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11632000,-135.45798500,238.6,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:52:45,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11631833,-135.45798667,282.9,0.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:56:03,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11634167,-135.45908333,287.1,2.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:56:14,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11639333,-135.45938500,288.0,3.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:56:34,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11648667,-135.45991000,288.8,3.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:56:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11663167,-135.46065000,291.2,4.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:57:14,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11680000,-135.46134167,295.5,4.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:57:33,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11700833,-135.46210000,298.1,5.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:57:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11730167,-135.46307333,300.1,5.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:58:14,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11759167,-135.46398167,301.4,6.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:58:33,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11791833,-135.46497167,301.9,7.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:58:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11833667,-135.46622333,302.4,7.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:59:14,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11872833,-135.46738000,302.8,8.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 00:59:43,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.11938667,-135.46931500,302.7,8.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:00:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12009333,-135.47135833,303.7,9.4,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:00:23,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12035500,-135.47203667,306.0,9.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:00:33,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12061000,-135.47262500,309.1,9.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:00:43,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12095000,-135.47330667,313.0,9.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:00:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12132000,-135.47393333,317.9,9.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:01,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12153500,-135.47424833,321.1,9.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:07,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12175833,-135.47454167,324.1,9.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12202833,-135.47485667,327.0,9.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:23,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12242667,-135.47524833,331.9,9.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:33,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12279667,-135.47554500,336.6,9.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:37,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12300500,-135.47568500,338.7,9.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:43,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12325833,-135.47583000,341.6,9.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:01:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12372667,-135.47603000,346.9,9.4,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:02:03,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12407000,-135.47612500,351.1,9.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:02:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12453833,-135.47619667,355.0,9.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:02:23,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12496333,-135.47623167,357.1,9.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:02:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.12629167,-135.47627000,359.5,9.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:05:14,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13242833,-135.47637167,2.2,9.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:05:24,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13284833,-135.47629000,5.7,10.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:05:34,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13332000,-135.47613667,9.7,10.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:05:40,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13364833,-135.47598500,12.4,10.4,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:05:50,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13411667,-135.47570167,17.2,10.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:05:54,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13430000,-135.47556667,19.2,10.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:04,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13470667,-135.47522333,23.7,10.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:10,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13501500,-135.47491333,26.7,10.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:20,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13543333,-135.47440833,31.8,10.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:24,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13559500,-135.47418833,34.3,10.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:30,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13583000,-135.47383667,36.7,10.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:34,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13594500,-135.47364833,38.8,10.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:40,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13620833,-135.47318500,41.8,11.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:06:50,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13656667,-135.47245500,46.6,11.3,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:07:00,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13689333,-135.47166000,51.6,11.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:07:10,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13720833,-135.47082000,54.2,11.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:07:20,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13754167,-135.46990500,55.3,12.6,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:07:30,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13789333,-135.46892167,55.8,13.5,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:07:44,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13841167,-135.46748667,55.6,14.2,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:08:19,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.13973167,-135.46374833,56.5,14.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:13:20,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15080833,-135.43126833,57.9,14.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:16:44,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15836167,-135.40852500,61.5,15.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:16:49,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15854500,-135.40781167,63.5,15.1,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:16:58,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15876000,-135.40684167,66.7,15.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:06,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15894333,-135.40585000,70.3,14.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:15,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15912000,-135.40458833,75.1,14.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:24,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15922167,-135.40356333,78.9,14.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:28,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15925833,-135.40304500,80.9,14.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:32,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15928500,-135.40252667,83.0,14.9,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:36,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15930167,-135.40200667,85.0,14.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:44,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15930333,-135.40096500,89.1,14.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:48,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15929000,-135.40044500,91.2,14.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:17:56,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15924000,-135.39941333,94.6,14.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:18:10,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15912000,-135.39748167,96.7,14.8,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:23:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15666667,-135.35781500,95.7,15.0,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
2025-01-07 01:28:13,368067220,WDK5676,9812808,HUBBARD,Under way using engine,58.15473167,-135.31905333,95.2,14.7,HAINES,2025-01-07 23:15:00,Passenger ship,4,85,19
