ShipName,MMSI,Draught,Length,Width,VesselType,CPATime,CPADist,meanSOG,SLtot,TO_SL_25,TO_SL_31_5,TO_SL_40,TO_SL_50,TO_SL_63,TO_SL_80,TO_SL_100,TO_SL_125,TO_SL_160,TO_SL_200,TO_SL_250,TO_SL_315,TO_SL_400,TO_SL_500,TO_SL_630,TO_SL_800,TO_SL_1000,TO_SL_1250,TO_SL_1600,TO_SL_2000,TO_SL_2500,TO_SL_3150,TO_SL_4000,TO_SL_5000,TO_SL_6300,TO_SL_8000,TO_SL_10000
CAPELIN,369970398,0.8,9,3,NPS,7/9/2024 14:15,732.9963283,21.56111111,111.0337599,92.3705232,98.57920391,94.74439623,95.50683906,96.04761478,107.7803837,98.2747377,95.05608521,94.16308998,93.78411384,99.90088243,94.67046328,91.56131387,90.69524265,90.36610312,88.96310789,88.69959156,88.5342198,88.6513899,88.62168338,88.92498115,89.84221068,90.79893659,90.66051567,92.09602074,94.18538102,96.03704684
MAGIC MOMENT,368108920,NaN,NaN,NaN,Private,7/10/2024 11:54,733.0889198,8.008695652,116.8085718,93.91741165,94.77265216,98.05901907,95.96337218,108.0582219,110.8519164,105.8807765,112.5368133,97.39094238,96.53766483,97.85124877,98.71974888,96.85247895,98.00758587,97.21990886,95.50908014,94.11749513,92.89917485,91.18607947,89.73155486,90.33993245,89.78034081,90.15408193,90.03053301,90.46669731,91.66079361,94.92368428
MINERS DEBT,367308410,NaN,NaN,NaN,Private,7/10/2024 11:53,1348.186883,8.337840785,151.4599498,106.4938397,105.7621949,106.5303044,104.2534384,113.744881,118.23443,114.539291,123.489681,109.0966694,108.1180379,109.948231,114.0511239,118.0169706,124.7805972,130.627192,135.2647633,138.9500273,140.0629552,142.3066472,142.6240475,144.3361367,141.6985465,140.8065601,140.0857104,138.1150953,137.7674273,136.7562445
NORTH STAR,367402080,NaN,17,5,Private,7/10/2024 11:54,1073.545757,7.581403509,160.2278079,105.0515691,103.9602568,104.4604737,102.2910566,112.633407,117.0027231,112.6547306,119.9280609,107.9656424,105.5873582,106.955497,109.6198043,112.7573739,118.2087474,123.2116509,126.0207859,130.2970798,135.1450021,136.4324102,139.6901256,149.8649998,154.5661782,144.9156018,144.5146976,156.2841538,147.5848691,150.4187681
SEA WOLF,367085000,NaN,NaN,NaN,Private,7/10/2024 13:25,319.6528166,6.835294118,113.1673453,93.28426199,103.074646,95.30006305,89.34207249,94.36884553,91.20461769,97.82023817,104.9869821,99.5882245,90.53485117,92.05084162,92.42282088,94.67532815,96.81464928,99.05530098,100.7241556,101.7060765,101.7704334,100.9761613,101.2112954,100.0806628,101.9979555,97.72734127,95.67916485,95.79321316,92.2994822,90.60772365
MOGAMBO,319510000,3.7,74,12,Private,7/11/2024 13:08,766.7667095,13.25490196,130.2130796,93.56912888,95.76819053,94.74710956,95.62293846,95.90090879,96.05390946,97.12198983,97.75431893,98.09611256,99.00357741,101.4653914,104.8602577,108.4126108,112.8093065,116.7323221,120.0126068,122.196257,122.4880216,122.0009443,120.7548833,118.6874349,116.9057442,116.1856743,114.3769176,112.744342,112.5822116,112.6154879
ST JUVENALY,367117530,1,24,8,Tour,7/11/2024 9:05,464.9178279,23.18313953,126.3795895,99.05250416,113.7043351,100.8395382,103.5057789,109.0829472,103.6914672,115.6952584,109.8517403,108.2668945,105.010935,103.5539515,101.6262508,103.0186024,106.2118486,106.122046,108.5576371,111.7501196,122.2563745,116.9457589,115.8215397,112.8666944,111.4604238,108.7365175,102.2839718,103.1327825,104.0842398,97.41023995
ST JUVENALY,367117530,1,24,8,Tour,7/12/2024 9:44,185.2245685,21.58674076,119.023446,96.36906932,112.275411,99.93449989,102.8370369,109.0184399,104.4313037,115.1594763,106.4273314,104.8734971,100.9660863,100.3339492,98.14242468,97.80686634,99.40609782,99.29429333,99.10678557,98.29598599,96.06573511,95.30370613,95.03009479,93.34992193,92.48277294,91.29006149,89.33202344,87.7828529,86.60153614,85.73672351
DAMN NEAR,368310280,NaN,13,4,Private,7/13/2024 14:47,452.9217587,5.708910891,101.9790962,91.549738,90.71573531,90.49664596,89.33522704,89.4943497,86.50862107,84.79488551,83.52089278,84.44222817,85.11302452,85.71280431,86.33641968,86.74696058,88.02802519,88.9061857,89.24177893,89.17976176,88.37119656,87.12448582,86.06830424,85.52187833,85.21964422,85.31293639,84.94528454,85.59296378,87.98777144,86.25838388
ST JUVENALY,367117530,1,24,8,Tour,7/14/2024 9:42,90.3313013,22.9125,116.6233344,95.070348,112.6874592,97.47345023,101.499368,106.858881,100.0081463,110.8883802,99.88275099,98.92182086,97.41891729,98.50650728,97.87379204,97.70792981,99.31968096,98.24760606,96.88441668,94.41606595,92.32624656,90.17431801,87.91022656,85.80828283,84.23647902,83.22360585,81.68464262,80.72140341,80.60253612,78.32209728
